,0,1,2,3,4,5,6,7,8
75,BRO,Brown & Brown,Financials,Insurance Brokers,QQ1,2024,2024-04-23 13:09:03,"{'neg': 0.038, 'neu': 0.74, 'pos': 0.221, 'compound': 1.0}",1
76,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,QQ1,2024,2023-08-30 16:51:09,"{'neg': 0.028, 'neu': 0.737, 'pos': 0.234, 'compound': 1.0}",1
77,BLDR,Builders FirstSource,Industrials,Building Products,QQ1,2024,2024-05-07 00:00:00,"{'neg': 0.036, 'neu': 0.732, 'pos': 0.232, 'compound': 1.0}",1
78,BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.037, 'neu': 0.76, 'pos': 0.203, 'compound': 1.0}",1
79,CDNS,Cadence Design Systems,Information Technology,Application Software,QQ1,2024,2024-04-22 20:54:09,"{'neg': 0.013, 'neu': 0.754, 'pos': 0.232, 'compound': 1.0}",1
80,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.04, 'neu': 0.754, 'pos': 0.206, 'compound': 1.0}",1
81,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,QQ1,2024,2024-05-03 00:00:00,"{'neg': 0.069, 'neu': 0.741, 'pos': 0.19, 'compound': 1.0}",1
82,CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,QQ1,2024,2023-12-06 10:40:21,"{'neg': 0.029, 'neu': 0.718, 'pos': 0.253, 'compound': 1.0}",1
83,COF,Capital One,Financials,Consumer Finance,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.031, 'neu': 0.754, 'pos': 0.215, 'compound': 1.0}",1
84,CAH,Cardinal Health,Health Care,Health Care Distributors,QQ1,2024,2023-11-03 11:39:10,"{'neg': 0.019, 'neu': 0.71, 'pos': 0.271, 'compound': 1.0}",1
85,KMX,CarMax,Consumer Discretionary,Automotive Retail,QQ1,2024,2023-06-23 12:09:10,"{'neg': 0.033, 'neu': 0.738, 'pos': 0.229, 'compound': 1.0}",1
86,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",QQ1,2024,2024-03-27 14:07:14,"{'neg': 0.026, 'neu': 0.725, 'pos': 0.249, 'compound': 1.0}",1
87,CARR,Carrier Global,Industrials,Building Products,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.032, 'neu': 0.741, 'pos': 0.226, 'compound': 1.0}",1
88,CTLT,Catalent,Health Care,Pharmaceuticals,QQ1,2024,2023-11-15 16:39:07,"{'neg': 0.024, 'neu': 0.752, 'pos': 0.224, 'compound': 1.0}",1
89,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,QQ1,2024,2024-04-25 11:36:03,"{'neg': 0.035, 'neu': 0.717, 'pos': 0.248, 'compound': 1.0}",1
90,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,QQ1,2024,2024-05-03 16:13:09,"{'neg': 0.014, 'neu': 0.757, 'pos': 0.229, 'compound': 1.0}",1
91,CBRE,CBRE Group,Real Estate,Real Estate Services,QQ1,2024,2024-05-03 00:00:00,"{'neg': 0.037, 'neu': 0.756, 'pos': 0.207, 'compound': 1.0}",1
92,CDW,CDW,Information Technology,Technology Distributors,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.052, 'neu': 0.719, 'pos': 0.229, 'compound': 1.0}",1
93,CE,Celanese,Materials,Specialty Chemicals,QQ1,2024,2024-05-09 00:00:00,"{'neg': 0.043, 'neu': 0.772, 'pos': 0.185, 'compound': 1.0}",1
94,COR,Cencora,Health Care,Health Care Distributors,QQ1,2024,2024-01-31 12:12:02,"{'neg': 0.017, 'neu': 0.705, 'pos': 0.277, 'compound': 1.0}",1
95,CNC,Centene Corporation,Health Care,Managed Health Care,QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.025, 'neu': 0.77, 'pos': 0.205, 'compound': 1.0}",1
96,CNP,CenterPoint Energy,Utilities,Multi-Utilities,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.026, 'neu': 0.735, 'pos': 0.239, 'compound': 1.0}",1
