ticker,company,sector,sub-sector,quarter,year,date,sentiment scores,compiled sentiment
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,QQ1,2024,5/7/2024 0:00,"{'neg': 0.035, 'neu': 0.755, 'pos': 0.21, 'compound': 0.9999}",1
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,QQ1,2024,10/31/2023 16:08,"{'neg': 0.03, 'neu': 0.728, 'pos': 0.242, 'compound': 1.0}",1
BIIB,Biogen,Health Care,Biotechnology,QQ1,2024,6/5/2024 22:54,"{'neg': 0.025, 'neu': 0.758, 'pos': 0.217, 'compound': 1.0}",1
BLK,BlackRock,Financials,Asset Management & Custody Banks,QQ1,2024,4/12/2024 11:16,"{'neg': 0.022, 'neu': 0.753, 'pos': 0.225, 'compound': 1.0}",1
BX,Blackstone,Financials,Asset Management & Custody Banks,QQ1,2024,4/18/2024 12:58,"{'neg': 0.031, 'neu': 0.75, 'pos': 0.219, 'compound': 1.0}",1
BA,Boeing,Industrials,Aerospace & Defense,QQ1,2024,4/24/2024 0:00,"{'neg': 0.028, 'neu': 0.755, 'pos': 0.216, 'compound': 1.0}",1
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",QQ1,2024,5/2/2024 0:00,"{'neg': 0.033, 'neu': 0.723, 'pos': 0.244, 'compound': 1.0}",1
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,QQ1,2024,5/2/2024 0:00,"{'neg': 0.013, 'neu': 0.759, 'pos': 0.228, 'compound': 1.0}",1
BXP,Boston Properties,Real Estate,Office REITs,QQ1,2024,5/1/2024 0:00,"{'neg': 0.035, 'neu': 0.795, 'pos': 0.17, 'compound': 1.0}",1
BSX,Boston Scientific,Health Care,Health Care Equipment,QQ1,2024,4/24/2024 0:00,"{'neg': 0.025, 'neu': 0.752, 'pos': 0.224, 'compound': 1.0}",1
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,QQ1,2024,4/25/2024 0:00,"{'neg': 0.027, 'neu': 0.728, 'pos': 0.245, 'compound': 1.0}",1
AVGO,Broadcom Inc.,Information Technology,Semiconductors,QQ1,2024,3/7/2024 22:18,"{'neg': 0.029, 'neu': 0.778, 'pos': 0.192, 'compound': 1.0}",1
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,QQ1,2024,11/2/2023 14:28,"{'neg': 0.016, 'neu': 0.704, 'pos': 0.28, 'compound': 1.0}",1
BRO,Brown & Brown,Financials,Insurance Brokers,QQ1,2024,4/23/2024 13:09,"{'neg': 0.038, 'neu': 0.74, 'pos': 0.221, 'compound': 1.0}",1
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,QQ1,2024,8/30/2023 16:51,"{'neg': 0.028, 'neu': 0.737, 'pos': 0.234, 'compound': 1.0}",1
BLDR,Builders FirstSource,Industrials,Building Products,QQ1,2024,5/7/2024 0:00,"{'neg': 0.036, 'neu': 0.732, 'pos': 0.232, 'compound': 1.0}",1
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services,QQ1,2024,4/24/2024 0:00,"{'neg': 0.037, 'neu': 0.76, 'pos': 0.203, 'compound': 1.0}",1
CDNS,Cadence Design Systems,Information Technology,Application Software,QQ1,2024,4/22/2024 20:54,"{'neg': 0.013, 'neu': 0.754, 'pos': 0.232, 'compound': 1.0}",1
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,QQ1,2024,4/30/2024 0:00,"{'neg': 0.04, 'neu': 0.754, 'pos': 0.206, 'compound': 1.0}",1
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,QQ1,2024,5/3/2024 0:00,"{'neg': 0.069, 'neu': 0.741, 'pos': 0.19, 'compound': 1.0}",1
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,QQ1,2024,12/6/2023 10:40,"{'neg': 0.029, 'neu': 0.718, 'pos': 0.253, 'compound': 1.0}",1
COF,Capital One,Financials,Consumer Finance,QQ1,2024,4/25/2024 0:00,"{'neg': 0.031, 'neu': 0.754, 'pos': 0.215, 'compound': 1.0}",1
CAH,Cardinal Health,Health Care,Health Care Distributors,QQ1,2024,11/3/2023 11:39,"{'neg': 0.019, 'neu': 0.71, 'pos': 0.271, 'compound': 1.0}",1
KMX,CarMax,Consumer Discretionary,Automotive Retail,QQ1,2024,6/23/2023 12:09,"{'neg': 0.033, 'neu': 0.738, 'pos': 0.229, 'compound': 1.0}",1
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",QQ1,2024,3/27/2024 14:07,"{'neg': 0.026, 'neu': 0.725, 'pos': 0.249, 'compound': 1.0}",1
CARR,Carrier Global,Industrials,Building Products,QQ1,2024,4/25/2024 0:00,"{'neg': 0.032, 'neu': 0.741, 'pos': 0.226, 'compound': 1.0}",1
CTLT,Catalent,Health Care,Pharmaceuticals,QQ1,2024,11/15/2023 16:39,"{'neg': 0.024, 'neu': 0.752, 'pos': 0.224, 'compound': 1.0}",1
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,QQ1,2024,4/25/2024 11:36,"{'neg': 0.035, 'neu': 0.717, 'pos': 0.248, 'compound': 1.0}",1
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,QQ1,2024,5/3/2024 16:13,"{'neg': 0.014, 'neu': 0.757, 'pos': 0.229, 'compound': 1.0}",1
CBRE,CBRE Group,Real Estate,Real Estate Services,QQ1,2024,5/3/2024 0:00,"{'neg': 0.037, 'neu': 0.756, 'pos': 0.207, 'compound': 1.0}",1
CDW,CDW,Information Technology,Technology Distributors,QQ1,2024,5/1/2024 0:00,"{'neg': 0.052, 'neu': 0.719, 'pos': 0.229, 'compound': 1.0}",1
CE,Celanese,Materials,Specialty Chemicals,QQ1,2024,5/9/2024 0:00,"{'neg': 0.043, 'neu': 0.772, 'pos': 0.185, 'compound': 1.0}",1
COR,Cencora,Health Care,Health Care Distributors,QQ1,2024,1/31/2024 12:12,"{'neg': 0.017, 'neu': 0.705, 'pos': 0.277, 'compound': 1.0}",1
